string_id,block_id,index,lang_id,len_chars,text
16,2,0,0,0,
17,2,1,0,0,
18,2,2,0,0,
19,2,3,0,0,
20,2,4,0,0,
21,2,5,0,0,
22,2,6,0,0,
23,2,7,0,0,
24,2,8,0,0,
25,2,9,0,14,Login to World
26,2,10,0,3,Yes
27,2,11,0,2,No
28,2,12,0,7,Storage
29,2,13,0,0,
30,2,14,0,12,Start Mining
31,2,15,0,14,Faction Mining
32,3,0,0,7,Refresh
33,3,1,0,9,Transport
34,3,2,0,15,Calculate Costs
35,3,3,0,21,Start Production Task
36,3,4,0,18,Faction Production
37,3,5,0,9,Buy Items
38,3,6,0,11,Add New NPC
39,3,7,0,12,Submit Offer
40,3,8,0,18,Use for new Object
41,3,9,0,6,Finish
42,3,10,0,8,Transfer
43,3,11,0,6,Cancel
44,3,12,0,2,OK
45,3,13,0,5,Login
46,3,14,0,4,Exit
47,3,15,0,6,Submit
48,4,0,0,5,Close
49,4,1,0,9,Randomize
50,4,2,0,14,Submit Changes
51,4,3,0,7,Produce
52,4,4,0,11,New Message
53,4,5,0,3,All
54,4,6,0,10,Add Player
55,4,7,0,4,Send
56,4,8,0,8,Previous
57,4,9,0,4,Next
58,4,10,0,12,Start Search
59,4,11,0,13,Confiscate UC
60,4,12,0,14,Impose Penalty
61,4,13,0,13,Issue Warning
62,4,14,0,7,Promote
63,4,15,0,6,Demote
64,5,0,0,0,
65,5,1,0,14,Update Rewards
66,5,2,0,4,Next
67,5,3,0,11,View Report
68,5,4,0,4,Edit
69,5,5,0,0,
70,5,6,0,0,
71,5,7,0,0,
72,5,8,0,11,Stop Agenda
73,5,9,0,8,Evaluate
74,5,10,0,0,
75,5,11,0,0,
76,5,12,0,10,Select All
77,5,13,0,0,
78,5,14,0,11,Verify Name
79,5,15,0,20,Recharge Mining Tool
80,6,0,0,15,Unload Minerals
81,6,1,0,15,Register Murder
82,6,2,0,16,Most Wanted List
83,6,3,0,4,Back
84,6,4,0,12,Nano Surgery
85,6,5,0,17,Passive Treatment
86,6,6,0,19,Stamina Refreshment
87,6,7,0,10,Buy Clones
88,6,8,0,0,
89,6,9,0,0,
90,6,10,0,15,Enter Apartment
91,6,11,0,14,Sell Apartment
92,6,12,0,13,Buy Apartment
93,6,13,0,10,Open Doors
94,6,14,0,11,Close Doors
95,6,15,0,15,Set Access Code
96,7,0,0,0,
97,7,1,0,15,Graphic Options
98,7,2,0,13,Audio Options
99,7,3,0,8,Controls
100,7,4,0,17,Interface Options
101,7,5,0,9,Exit Game
102,7,6,0,13,Apply Changes
103,7,7,0,13,Empty Mailbox
104,7,8,0,11,Edit Agenda
105,7,9,0,16,Cancel Insurance
106,7,10,0,7,Notepad
107,7,11,0,8,Continue
108,7,12,0,17,Reset To Defaults
109,7,13,0,7,Credits
110,7,14,0,10,Join Group
111,7,15,0,0,
112,8,0,0,0,
113,8,1,0,20,Create Voting Ballot
114,8,2,0,17,Reset all Filters
115,8,3,0,16,Storage Overview
116,8,4,0,12,View Details
117,8,5,0,8,Transfer
118,8,6,0,8,Add Goal
119,8,7,0,6,Submit
