item_id,item_name,item_type,item_subtype,equip_slot,Health,Stamina,Bio Energy,Aura,Universal Credits,Faction Credits,Penalty,Prisoner Status,Highest Penalty,Most-Wanted Status,Wanted Status,Agility,Ballistic Damage,Energy Damage,Bio Damage,Aura Damage,Destruction,Weapon Recoil,Armor,Shielding,Resistance,Reflection,Health Regeneration,Stamina Regeneration,Bio Regeneration,Aura Regeneration,Coins,Healing Cooldown,Food Cooldown,Xeno Damage,Health Drain,Stamina Drain,Bio Energy Drain,Aura Drain,Protection Bypass,Effective Range,Weapon Fire Delay,Blank 1,Blank 2,Weight,Jump Velocity Multiplier,Fall Damage Multiplier,Nightvision,Soundless Movement,Activation Distance,Sprint Speed Multiplier,Max Stamina,Bio Energy Replenishing Cooldown,stat_0x30
1,- Unspecified Item -,3/4,,,,,,,,,,,,,,,6.4,,,,7.4,23.3%,,,,,,,,,,,,6.4,,,,,,10m,0.40s,,,1000g,,,,,,,,,
2,Zanathid 5 Inflex,3/4,,,,,,,,,,,,,,,,5.5,,,3.9,16.7%,,,,,,,,,,,,3.3,,,,,,8m,0.34s,,,1000g,,,,,,,,,
3,Ryx 7 Streamline,3/4,,,,,,,,,,,,,,,8.0,,,,5.4,30.0%,,,,,,,,,,,,4.6,,,,,,22m,0.47s,,,5000g,,,,,,,,,
4,RGI-9,3/4,,,,,,,,,,,,,,,,9.1,,,6.2,33.3%,,,,,,,,,,,,5.5,,,,,,12m,0.55s,,,5000g,,,,,,,,,
5,Orbit XB Infineon,3/4,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,25.0,,,,,,1m,2.00s,,,500g,,,,,,,,,
6,Armalite Survival,3/4,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,1m,2.00s,,,500g,,,,,,,,,
7,Enfield Life Protector,3/4,,,,,,,,,,,,,,,,,,38.4,,,,,,,,,,,,,,,,,,,,10m,5.00s,,,500g,,,,,,,,,
8,FGz-78,3/4,,,,,,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,10m,5.00s,,,500g,,,,,,,,,
9,Militek EMP,3/4,,,,,,,,,,,,,,,3.6,,,,2.3,16.7%,,,,,,,,,,,,2.7,,,,,,6m,0.20s,,,2000g,,,,,,,,,
10,Techtronic 6x6,3/4,,,,,,,,,,,,,,,,6.6,,,4.0,16.7%,,,,,,,,,,,,5.8,,,,,,9m,0.34s,,,3000g,,,,,,,,,
11,HR420,3/4,,,,,,,,,,,,,,,12.4,,,,5.6,30.0%,,,,,,,,,,,,7.0,,,,,,22m,0.70s,,,6500g,,,,,,,,,
