index,item_id,u16_00,u16_02,u16_06,u8_08,u8_09,u8_0A,u8_0B,u32_0C,u32_10,u32_14,u8_18,u8_19,u8_1A,u8_1B,u8_1C,u8_1D,u8_1E,u8_1F
0,1,51712,15258,0,1,0,0,0,1000,1000,1000,232,3,0,0,232,3,0,0
1,2,0,0,256,26,4,0,0,250,60,25601,16,39,1,0,170,4,2,0
2,3,522,0,0,2,3,5,6,1,523,7,3,3,5,6,1,0,0,0
3,4,12,0,0,1,0,0,0,0,0,0,74,0,0,0,77,0,0,0
4,5,5,0,0,32,0,0,0,5,6,4,12,0,0,0,12,0,0,0
5,6,103,22,0,104,0,32,0,42,1179752,192,104,0,19,0,192,0,0,0
6,7,1201,256,0,3,0,0,0,30,6579200,75536,143,4,3,0,0,0,0,0
7,8,14796,4113,0,0,0,128,68,0,6094941,7536639,6,0,0,0,0,0,0,0
8,9,1537,0,0,0,0,0,0,1793,10,0,1,8,0,0,11,0,0,0
9,10,85,27,0,86,0,39,0,250,1441878,50,86,0,27,0,10,0,0,0
10,11,33580,4116,0,5,0,0,0,1,0,0,0,0,0,0,63,0,0,0
11,12,12,0,0,12,0,0,0,12,12,12,12,0,0,0,12,0,0,0
12,13,100,0,0,1,1,1,1,16843009,16843009,257,0,0,0,0,0,0,0,0
13,14,0,0,256,144,1,0,0,320,90,25600,16,39,1,0,172,4,6,0
14,15,0,16,0,51,51,179,63,1060320051,7500,1067030938,166,14,0,0,0,0,0,0
15,16,1,0,0,208,7,0,0,1702129225,1667327602,1818570597,101,109,101,110,116,115,47,112
16,17,100,0,0,1,1,1,1,16843009,16843009,257,0,0,0,0,0,0,0,0
17,18,0,0,256,126,4,0,0,480,120,25601,16,39,1,0,211,4,2,0
18,19,33796,4116,0,3,0,0,0,1,0,0,0,0,0,0,14,0,0,0
19,20,51,256,0,60,0,0,0,50,3957761,75536,135,4,3,0,170,4,1,0
20,21,580,0,0,9,0,0,0,269838360,269838328,269838300,204,57,17,16,204,57,17,16
21,22,56416,4117,0,0,0,0,0,1028443341,4294967295,4294967295,2,0,0,0,0,0,72,66
22,23,9,16,0,9,0,29,0,27,786441,36,9,0,17,0,244,1,0,0
23,24,0,0,0,24,231,26,16,184,0,0,36,170,19,16,44,223,26,16
24,25,29,21,0,29,0,17,0,400,2555934,5000,30,0,36,0,158,2,0,0
25,26,29,3,0,29,0,18,0,25,1245213,25,29,0,20,0,25,0,0,0
26,27,32808,4116,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0
