index,entry_va,name,d1,d2,d3,d4,d1_desc,d2_desc,d3_desc,d4_desc
0,0x006D8CB8,BindIP,0x00000000,0x00000000,0x00000000,0x006F850C,zero,zero,zero,data:u32=0x3dde3dc4;f=0.108516
1,0x006D8CCC,IP,0x00000000,0x00000000,0x00000000,0x006F8510,zero,zero,zero,data:u32=0x3e163e03;f=0.146721
2,0x006D8CE0,MasterServer,0x00000000,0x00000000,0x00000000,0x006F8514,zero,zero,zero,data:u32=0x3fa03e95;f=1.25191
3,0x006D8CF4,UseOldVertexFormat,0x00000000,0x006F8518,0x00000000,0x00000000,zero,data:u32=0x00003fe6;f=2.29224e-41,zero,zero
4,0x006D8D08,Console_FontTexFile,0x00000000,0x00000000,0x00000000,0x006F851C,zero,zero,zero,str:
5,0x006D8D1C,NoDefaultEngineRez,0x00000000,0x006F8520,0x00000000,0x00000000,zero,str:<,zero,zero
6,0x006D8D30,RenderEnable,0x00000000,0x006D8B00,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
7,0x006D8D44,PlayDemoReps,0x00000000,0x006F84F4,0x00000000,0x00000000,zero,data:u32=0x376b3764;f=1.402e-05,zero,zero
8,0x006D8D58,ForceNoSound,0x00000000,0x006F84F8,0x00000000,0x00000000,zero,data:u32=0x377f377a;f=1.52121e-05,zero,zero
9,0x006D8D6C,CursorCenter,0x00000000,0x006D8B04,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
10,0x006D8D80,VideoDebug,0x00000000,0x006F84FC,0x00000000,0x00000000,zero,data:u32=0x379f3797;f=1.89802e-05,zero,zero
11,0x006D8D94,DebugLoaders,0x00000000,0x006F8500,0x00000000,0x00000000,zero,data:u32=0x37b937a4;f=2.20796e-05,zero,zero
12,0x006D8DA8,MeasurePackets,0x00000000,0x006F8508,0x00000000,0x00000000,zero,data:u32=0x3d353c36;f=0.0442469,zero,zero
13,0x006D8DBC,STracePackets,0x00000000,0x006F8504,0x00000000,0x00000000,zero,data:u32=0x3b6837d5;f=0.00354337,zero,zero
14,0x006D8DD0,DelimitPackets,0x00000000,0x006D8B08,0x00000000,0x00000000,zero,data:u32=0x00000001;f=1.4013e-45,zero,zero
15,0x006D8DE4,ForceConsole,0x00000000,0x006F8524,0x00000000,0x00000000,zero,data:u32=0x30a3307b;f=1.18736e-09,zero,zero
16,0x006D8DF8,IPDevice,0x00000000,0x006F8528,0x00000000,0x00000000,zero,data:u32=0x30d630c9;f=1.55844e-09,zero,zero
